,Time,Distance
479,212381308800.0000000000000000,41706435866438.3359375000000000
480,212381352000.0000000000000000,41859549059914.5859375000000000
481,212381395200.0000000000000000,42012550740814.4531250000000000
482,212381438400.0000000000000000,42165441618376.8671875000000000
483,212381481600.0000000000000000,42318222394724.1171875000000000
484,212381524800.0000000000000000,42470893764955.0546875000000000
485,212381568000.0000000000000000,42623456417243.1640625000000000
486,212381611200.0000000000000000,42775911032929.0937500000000000
487,212381654400.0000000000000000,42928258286613.1640625000000000
488,212381697600.0000000000000000,43080498846245.9921875000000000
489,212381740800.0000000000000000,43232633373218.6171875000000000
490,212381784000.0000000000000000,43384662522449.2109375000000000
491,212381827200.0000000000000000,43536586942468.3125000000000000
492,212381870400.0000000000000000,43688407275505.2734375000000000
493,212381913600.0000000000000000,43840124157571.9375000000000000
494,212381956800.0000000000000000,43991738218543.7734375000000000
495,212382000000.0000000000000000,44143250082237.7265625000000000
496,212382043200.0000000000000000,44294660366497.0546875000000000
497,212382086400.0000000000000000,44445969683265.1953125000000000
498,212382129600.0000000000000000,44597178638663.8750000000000000
499,212382172800.0000000000000000,44748287833068.7812500000000000
500,212382216000.0000000000000000,44899297861182.1171875000000000
501,212382259200.0000000000000000,45050209312108.6015625000000000
502,212382302400.0000000000000000,45201022769423.4453125000000000
503,212382345600.0000000000000000,45351738811247.6718750000000000
504,212382388800.0000000000000000,45502358010312.5546875000000000
505,212382432000.0000000000000000,45652880934032.4375000000000000
506,212382475200.0000000000000000,45803308144568.8359375000000000
507,212382518400.0000000000000000,45953640198899.6875000000000000
508,212382561600.0000000000000000,46103877648881.9453125000000000
509,212382604800.0000000000000000,46254021041316.2734375000000000
510,212382648000.0000000000000000,46404070918011.7968750000000000
